4,中到大雨,2.5
1,中到大雨转小雨,2
25,中雨,2
2,中雨~小雨,1.5
1,中雨~雷阵雨,2
4,中雨转多云,1
6,中雨转小雨,1.5
1,中雨转阵雨,1.5
1,中雪,2
1,中雪~多云,1
1,中雪~阵雪,1.5
1,中雪转小雪,1.5
2,中雪转阴,1
657,多云,0
1,多云~大雨,1.5
9,多云~小雨,0.5
1,多云~小雪,0.5
60,多云~晴,0
28,多云~阴,0
1,多云~阵雨,0.5
14,多云~雷阵雨,1
1,多云~雷雨,1
1,多云~雾,0
5,多云转中雨,1
1,多云转中雪,1
3,多云转大雨,1.5
1,多云转小到中雨,1
17,多云转小雨,0.5
3,多云转小雪,0.5
125,多云转晴,0
29,多云转阴,0
9,多云转阵雨,0.5
2,多云转雨夹雪,0.5
24,多云转雷阵雨,1
1,多云转霾,0
1,大到暴雨~多云,2.333
8,大雨,3
1,大雨~中雨,2.5
2,大雨转小雨,2
1,大雨转阴,1.5
2,大雪,3
1,大雪~中雪,2.5
1,大雪~多云,1.5
1,大雪转多云,1.5
1,大雪转小雪,2
6,小到中雨,1.5
1,小到中雨~大雨,2
3,小到中雨~小雨,1.333
1,小到中雨转中到大雨,2
1,小到中雪~小雪,1.333
99,小雨,1
4,小雨~中雨,1.5
9,小雨~多云,0.5
1,小雨~小到中雨,1.5
1,小雨~小雪,1
1,小雨~晴,0.5
6,小雨~阴,0.5
2,小雨~雨夹雪,1
1,小雨转中雨,1.5
1,小雨转中雪,1.5
12,小雨转多云,0.5
1,小雨转小雪,1
3,小雨转晴,0.5
3,小雨转阴,0.5
1,小雨转雾,0.5
1,小雨转霾,0.5
17,小雪,1
3,小雪~多云,0.5
2,小雪~阴,0.5
3,小雪转多云,0.5
2,小雪转晴,0.5
1,小雪转阴,0.5
6,局部多云,0
1,扬沙,0
1,扬沙转晴,0
1274,晴,0
76,晴~多云,0
1,晴~小雨,0.5
2,晴~阴,0
1,晴~雷阵雨,0.5
120,晴转多云,0
4,晴转小雨,0.5
8,晴转阴,0
1,晴转阵雨,0.5
2,晴转雷阵雨,1
1,晴转霾,0
6,暴雨,4
1,暴雨转中雨,3
1,暴雨转阵雨,2.5
214,阴,0
1,阴~中到大雨,1.666
1,阴~中雪,1
28,阴~多云,0
7,阴~小雨,0.5
2,阴~小雪,0.5
4,阴~晴,0
1,阴~阵雨,0.2
1,阴~雨夹雪,0.5
2,阴~雷阵雨,1
1,阴~雷雨,1
1,阴~霾,0
4,阴转中雨,1
32,阴转多云,0
2,阴转大雨,1.5
6,阴转小雨,0.5
1,阴转小雪,0.5
18,阴转晴,0
1,阴转阵雨,0.5
4,阴转雷阵雨,1
31,阵雨,2
1,阵雨~中到大雨,2.333
10,阵雨~多云,0.5
2,阵雨~小到中雨,1.333
2,阵雨~阴,0.5
1,阵雨转中到大雨,2
13,阵雨转多云,0.5
2,阵雨转晴,0.5
1,阵雪,1
2,阵雪~多云,0.5
1,阵雪转多云,0.5
2,雨夹雪,0.5
1,雨夹雪~中到大雪,2
1,雨夹雪转多云,0.5
1,雨夹雪转小雪,1
1,雨夹雪转晴,0.5
1,雨夹雪转阴,0.5
81,雷阵雨,2
1,雷阵雨~中到大雨,2.333
2,雷阵雨~中雨,2
19,雷阵雨~多云,1
1,雷阵雨~大到暴雨,3
1,雷阵雨~大雨,2.5
1,雷阵雨~小到中雨,2.666
3,雷阵雨~阴,1
4,雷阵雨转中雨,2
15,雷阵雨转多云,1
2,雷阵雨转大雨,2.5
4,雷阵雨转晴,1
1,雷阵雨转暴雨,3
2,雷阵雨转阴,1
1,雷阵雨转阵雨,1.5
1,雷阵雨转雨夹雪,1.5
5,雷雨,2
3,雷雨~多云,1
1,雷雨~晴,1
17,雾,0
1,雾~阵雨,0.5
5,雾转多云,0
3,雾转小雨,0.5
5,雾转晴,0
30,霾,0
6,霾~多云,0
1,霾~小雨,0.5
1,霾~小雪,0.5
1,霾~晴,0
2,霾转多云,0
1,霾转小雨,0.5
5,霾转晴,0
2,霾转阴,0
1,霾转雨夹雪,0.5
